technique_id,name,tactics_str,primary_tactic,frequency_category,Claude,Grok,GPT,Gemini,Final_Classification,Classification_Source,NIDS_Detectable,description,tactics_str,platforms,entity_count,group_count,software_count,frequency_category,total_score,all_entities,groups,software
T1218.003,CMSTP,defense-evasion,defense-evasion,Rare,NO,NO,PARTIAL,PARTIAL,PARTIAL,Expert Review,Detectable,Adversaries may abuse CMSTP to proxy execution of malicious code. The Microsoft Connection Manager Profile Installer (CMSTP.exe) is a command-line program used to install Connection Manager service profiles. (Citation: Microsoft Connection Manager Oct 2009) CMSTP.exe accepts an installation informat...,defense-evasion,Windows,1,1,0,Rare,49,Cobalt Group,Cobalt Group,
T1220,XSL Script Processing,defense-evasion,defense-evasion,Rare,NO,NO,PARTIAL,PARTIAL,PARTIAL,Expert Review,Detectable,"Adversaries may bypass application control and obscure execution of code by embedding scripts inside XSL files. Extensible Stylesheet Language (XSL) files are commonly used to describe the processing and rendering of data within XML files. To support complex operations, the XSL standard includes sup...",defense-evasion,Windows,1,1,0,Rare,49,Cobalt Group,Cobalt Group,
T1562.013,Disable or Modify Network Device Firewall,defense-evasion,defense-evasion,Rare,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,Unanimous (4/4),Detectable,"Adversaries may disable network device-based firewall mechanisms entirely or add, delete, or modify particular rules in order to bypass controls limiting network usage. 
 
Modifying or disabling a network firewall may enable adversary C2 communications, lateral movement, and/or data exfiltration tha...",defense-evasion,Network Devices,1,1,0,Rare,49,APT38,APT38,
T1018,Remote System Discovery,discovery,discovery,Common,PARTIAL,YES,YES,PARTIAL,YES,Expert Review,Detectable,"Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system. Functionality could exist within remote access tools to enable this, but utilities available on the operating sys...",discovery,"ESXi, Linux, macOS, Network Devices, Windows",4,2,2,Common,47.4,"Indrik Spider, QakBot, Silence, TrickBot","Indrik Spider, Silence","QakBot, TrickBot"
T1189,Drive-by Compromise,initial-access,initial-access,Common,PARTIAL,YES,PARTIAL,YES,YES,Expert Review,Detectable,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. Multiple ways of delivering exploit code to a browser exist (i.e., [Drive-by Target](https://attack.mitre.org/techniques/T1608/004)), including:

* A legitimate website is compromised, allow...",initial-access,"Identity Provider, Linux, macOS, Windows",5,4,1,Common,46.8,"APT38, Andariel, IcedID, Lazarus Group, RTM","APT38, Andariel, Lazarus Group, RTM",IcedID
T1046,Network Service Discovery,discovery,discovery,Medium,YES,YES,YES,YES,YES,Unanimous (4/4),Detectable,"Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation. Common methods to acquire this information include port, vulnerability, and/or wordlist scans using tools tha...",discovery,"Containers, IaaS, Linux, macOS, Network Devices, Windows",3,3,0,Medium,46.4,"Cobalt Group, DarkVishnya, Lazarus Group","Cobalt Group, DarkVishnya, Lazarus Group",
T1021.001,Remote Desktop Protocol,lateral-movement,lateral-movement,Common,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,Unanimous (4/4),Detectable,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into a computer using the Remote Desktop Protocol (RDP). The adversary may then perform actions as the logged-on user.

Remote desktop is a common feature in operating systems. It allows a user to log into an inte...",lateral-movement,Windows,5,4,1,Common,46.2,"Carbanak, Cobalt Group, Indrik Spider, Lazarus Group, Silence","Cobalt Group, Indrik Spider, Lazarus Group, Silence",Carbanak
T1027.006,HTML Smuggling,defense-evasion,defense-evasion,Rare,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign HTML files. HTML documents can store large binary objects known as JavaScript Blobs (immutable data that represents raw bytes) that can later be constructed into file-like objects. Dat...,defense-evasion,"Windows, Linux, macOS",1,0,1,Rare,45,QakBot,,QakBot
T1573.001,Symmetric Cryptography,command-and-control,command-and-control,Common,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,Unanimous (4/4),Detectable,Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Symmetric encryption algorithms use the same key for plaintext encryption and ciphertext decryption. Common symme...,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",5,1,4,Common,44.4,"Carbanak, Dridex, Lazarus Group, QakBot, TrickBot",Lazarus Group,"Carbanak, Dridex, QakBot, TrickBot"
T1090.002,External Proxy,command-and-control,command-and-control,Common,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,"Adversaries may use an external proxy to act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure. Many tools exist that enable traffic redirection through proxies or port redirection, including [HTRAN](https://attack.mitre...",command-and-control,"ESXi, Linux, Network Devices, Windows, macOS",4,2,2,Common,43.4,"Lazarus Group, QakBot, Silence, TrickBot","Lazarus Group, Silence","QakBot, TrickBot"
T1047,Windows Management Instrumentation,execution,execution,Common,PARTIAL,YES,PARTIAL,PARTIAL,PARTIAL,Consensus (3/4),Detectable,Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and payloads. WMI is designed for programmers and is the infrastructure for management data and operations on Windows systems.(Citation: WMI 1-3) WMI is an administration feature that provides a uniform envi...,execution,Windows,5,2,3,Common,43.4,"IcedID, Indrik Spider, Lazarus Group, QakBot, Ursnif","Indrik Spider, Lazarus Group","IcedID, QakBot, Ursnif"
T1566.002,Spearphishing Link,initial-access,initial-access,Common,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,Adversaries may send spearphishing emails with a malicious link in an attempt to gain access to victim systems. Spearphishing with a link is a specific variant of spearphishing. It is different from other forms of spearphishing in that it employs the use of links to download malware contained in ema...,initial-access,"Identity Provider, Linux, macOS, Office Suite, SaaS, Windows",5,3,2,Common,42.8,"Cobalt Group, Lazarus Group, QakBot, TA505, TrickBot","Cobalt Group, Lazarus Group, TA505","QakBot, TrickBot"
T1203,Exploitation for Client Execution,execution,execution,Common,PARTIAL,NO,YES,YES,PARTIAL,Expert Review,Detectable,Adversaries may exploit software vulnerabilities in client applications to execute code. Vulnerabilities can exist in software due to unsecure coding practices that can lead to unanticipated behavior. Adversaries can take advantage of certain vulnerabilities through targeted exploitation for the pur...,execution,"Linux, macOS, Windows",4,3,1,Common,42.4,"Andariel, Bankshot, Cobalt Group, Lazarus Group","Andariel, Cobalt Group, Lazarus Group",Bankshot
T1204.001,Malicious Link,execution,execution,Common,PARTIAL,YES,PARTIAL,YES,YES,Expert Review,Detectable,An adversary may rely upon a user clicking a malicious link in order to gain execution. Users may be subjected to social engineering to get them to click on a link that will lead to code execution. This user action will typically be observed as follow-on behavior from [Spearphishing Link](https://at...,execution,"Linux, macOS, Windows",4,3,1,Common,42.4,"APT38, Cobalt Group, QakBot, TA505","APT38, Cobalt Group, TA505",QakBot
T1041,Exfiltration Over C2 Channel,exfiltration,exfiltration,High-Priority,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,Adversaries may steal data by exfiltrating it over an existing command and control channel. Stolen data is encoded into the normal communications channel using the same protocol as command and control communications.,exfiltration,"ESXi, Linux, macOS, Windows",7,1,6,High-Priority,42.2,"Bankshot, Carberp, Dyre, Lazarus Group, QakBot, TrickBot, Ursnif",Lazarus Group,"Bankshot, Carberp, Dyre, QakBot, TrickBot, Ursnif"
T1132.001,Standard Encoding,command-and-control,command-and-control,Common,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a standard data encoding system that adheres to existing protocol specifications. Common data encodi...,command-and-control,"ESXi, Linux, Windows, macOS",4,1,3,Common,39.4,"Carbanak, Lazarus Group, QakBot, TrickBot",Lazarus Group,"Carbanak, QakBot, TrickBot"
T1484.001,Group Policy Modification,"defense-evasion, privilege-escalation",defense-evasion,Rare,PARTIAL,NO,PARTIAL,PARTIAL,PARTIAL,Consensus (3/4),Detectable,"Adversaries may modify Group Policy Objects (GPOs) to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain. Group policy allows for centralized management of user and computer settings in Active Directory (AD). GPOs are co...","defense-evasion, privilege-escalation",Windows,1,1,0,Rare,35.8,Indrik Spider,Indrik Spider,
T1078.002,Domain Accounts,"defense-evasion, persistence, privilege-escalation, initial-access",defense-evasion,Medium,PARTIAL,NO,PARTIAL,PARTIAL,PARTIAL,Consensus (3/4),Detectable,"Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion.(Citation: TechNet Credential Theft) Domain accounts are those managed by Active Directory Domain Services where access and permissions are con...","defense-evasion, persistence, privilege-escalation, initial-access","ESXi, Linux, macOS, Windows",2,2,0,Medium,35.45,"Indrik Spider, TA505","Indrik Spider, TA505",
T1573.002,Asymmetric Cryptography,command-and-control,command-and-control,Medium,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,Unanimous (4/4),Detectable,"Adversaries may employ a known asymmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Asymmetric cryptography, also known as public key cryptography, uses a keypair per party: one public that can be...",command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",3,1,2,Medium,34.4,"Cobalt Group, Dridex, IcedID",Cobalt Group,"Dridex, IcedID"
T1482,Domain Trust Discovery,discovery,discovery,Medium,PARTIAL,YES,YES,YES,YES,Consensus (3/4),Detectable,Adversaries may attempt to gather information on domain trust relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments. Domain trusts provide a mechanism for a domain to allow access to resources based on the authentication procedures of a...,discovery,Windows,3,0,3,Medium,34.4,"IcedID, QakBot, TrickBot",,"IcedID, QakBot, TrickBot"
T1110,Brute Force,credential-access,credential-access,Medium,YES,PARTIAL,YES,YES,YES,Consensus (3/4),Detectable,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained.(Citation: TrendMicro Pawn Storm Dec 2020) Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password usi...",credential-access,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows",3,2,1,Medium,33.4,"APT38, DarkVishnya, QakBot","APT38, DarkVishnya",QakBot
T1102.002,Bidirectional Communication,command-and-control,command-and-control,Medium,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,Unanimous (4/4),Detectable,"Adversaries may use an existing, legitimate external Web service as a means for sending commands to and receiving output from a compromised system over the Web service channel. Compromised systems may leverage popular websites and social media to host command and control (C2) instructions. Those inf...",command-and-control,"Linux, macOS, Windows, ESXi",2,2,0,Medium,33.4,"Carbanak, Lazarus Group","Carbanak, Lazarus Group",
T1087.003,Email Account,discovery,discovery,Medium,PARTIAL,PARTIAL,PARTIAL,NO,PARTIAL,Consensus (3/4),Detectable,"Adversaries may attempt to get a listing of email addresses and accounts. Adversaries may try to dump Exchange address lists such as global address lists (GALs).(Citation: Microsoft Exchange Address Lists)

In on-premises Exchange and Exchange Online, the <code>Get-GlobalAddressList</code> PowerShel...",discovery,"Windows, Office Suite",2,1,1,Medium,33.4,"TA505, TrickBot",TA505,TrickBot
T1021.004,SSH,lateral-movement,lateral-movement,Medium,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,Unanimous (4/4),Detectable,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into remote machines using Secure Shell (SSH). The adversary may then perform actions as the logged-on user.

SSH is a protocol that allows authorized users to open remote shells on other computers. Many Linux and...",lateral-movement,"ESXi, Linux, macOS",3,3,0,Medium,32.2,"GCMAN, Indrik Spider, Lazarus Group","GCMAN, Indrik Spider, Lazarus Group",
T1087.002,Domain Account,discovery,discovery,Medium,PARTIAL,PARTIAL,YES,YES,PARTIAL,Expert Review,Detectable,"Adversaries may attempt to get a listing of domain accounts. This information can help adversaries determine which domain accounts exist to aid in follow-on behavior such as targeting specific accounts which possess particular privileges.

Commands such as <code>net user /domain</code> and <code>net...",discovery,"Linux, macOS, Windows",2,0,2,Medium,29.4,"Bankshot, IcedID",,"Bankshot, IcedID"
T1001.003,Protocol or Service Impersonation,command-and-control,command-and-control,Medium,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,Unanimous (4/4),Detectable,"Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts. By impersonating legitimate protocols or web services, adversaries can make their command and control traffic blend in with legitimate network traffic.  

Adv...",command-and-control,"ESXi, Linux, macOS, Windows",2,1,1,Medium,29.4,"Bankshot, Lazarus Group",Lazarus Group,Bankshot
T1008,Fallback Channels,command-and-control,command-and-control,Medium,YES,PARTIAL,PARTIAL,YES,PARTIAL,Expert Review,Detectable,Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.,command-and-control,"Linux, Windows, macOS, ESXi",2,1,1,Medium,29.4,"Lazarus Group, TrickBot",Lazarus Group,TrickBot
T1572,Protocol Tunneling,command-and-control,command-and-control,Medium,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,Adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid detection/network filtering and/or enable access to otherwise unreachable systems. Tunneling involves explicitly encapsulating a protocol within another. This behavior may conceal malicious ...,command-and-control,"ESXi, Linux, macOS, Windows",2,1,1,Medium,29.4,"Cobalt Group, QakBot",Cobalt Group,QakBot
T1568.002,Domain Generation Algorithms,command-and-control,command-and-control,Medium,YES,PARTIAL,YES,YES,YES,Consensus (3/4),Detectable,"Adversaries may make use of Domain Generation Algorithms (DGAs) to dynamically identify a destination domain for command and control traffic rather than relying on a list of static IP addresses or domains. This has the advantage of making it much harder for defenders to block, track, or take over th...",command-and-control,"Linux, macOS, Windows, ESXi",2,0,2,Medium,25.4,"QakBot, Ursnif",,"QakBot, Ursnif"
T1090.003,Multi-hop Proxy,command-and-control,command-and-control,Medium,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,Unanimous (4/4),Detectable,"Adversaries may chain together multiple proxies to disguise the source of malicious traffic. Typically, a defender will be able to identify the last proxy traffic traversed before it enters their network; the defender may or may not be able to identify any previous proxies before the last-hop proxy....",command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",2,0,2,Medium,25.4,"Dridex, Ursnif",,"Dridex, Ursnif"
T1090,Proxy,command-and-control,command-and-control,Medium,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure. Many tools exist that enable traffic redirection through proxies or port redirect...,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",2,0,2,Medium,25.4,"Dridex, Ursnif",,"Dridex, Ursnif"
T1071.004,DNS,command-and-control,command-and-control,Rare,YES,YES,PARTIAL,YES,YES,Consensus (3/4),Detectable,"Adversaries may communicate using the Domain Name System (DNS) application layer protocol to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client...",command-and-control,"Linux, macOS, Windows, Network Devices, ESXi",1,1,0,Rare,24.4,Cobalt Group,Cobalt Group,
T1016.001,Internet Connection Discovery,discovery,discovery,Rare,YES,YES,NO,YES,YES,Consensus (3/4),Detectable,"Adversaries may check for Internet connectivity on compromised systems. This may be performed during automated discovery and can be accomplished in numerous ways such as using [Ping](https://attack.mitre.org/software/S0097), <code>tracert</code>, and GET requests to websites, or performing initial s...",discovery,"Windows, Linux, macOS, ESXi",1,0,1,Rare,24.4,QakBot,,QakBot
T1090.001,Internal Proxy,command-and-control,command-and-control,Rare,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,Unanimous (4/4),Detectable,"Adversaries may use an internal proxy to direct command and control traffic between two or more systems in a compromised environment. Many tools exist that enable traffic redirection through proxies or port redirection, including [HTRAN](https://attack.mitre.org/software/S0040), ZXProxy, and ZXPortM...",command-and-control,"Linux, Network Devices, Windows, macOS, ESXi",1,1,0,Rare,24.4,Lazarus Group,Lazarus Group,
T1102.001,Dead Drop Resolver,command-and-control,command-and-control,Rare,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,"Adversaries may use an existing, legitimate external Web service to host information that points to additional command and control (C2) infrastructure. Adversaries may post content, known as a dead drop resolver, on Web services with embedded (and often obfuscated/encoded) domains or IP addresses. O...",command-and-control,"ESXi, Linux, macOS, Windows",1,1,0,Rare,24.4,RTM,RTM,
T1104,Multi-Stage Channels,command-and-control,command-and-control,Rare,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,"Adversaries may create multiple stages for command and control that are employed under different conditions or for certain functions. Use of multiple stages may obfuscate the command and control channel to make detection more difficult.

Remote access tools will call back to the first-stage command ...",command-and-control,"Linux, macOS, Windows, ESXi",1,1,0,Rare,24.4,Lazarus Group,Lazarus Group,
T1219.002,Remote Desktop Software,command-and-control,command-and-control,Rare,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,"An adversary may use legitimate desktop support software to establish an interactive command and control channel to target systems within networks. Desktop support software provides a graphical interface for remotely controlling another computer, transmitting the display output, keyboard input, and ...",command-and-control,"Linux, macOS, Windows",1,1,0,Rare,24.4,RTM,RTM,
T1568.001,Fast Flux DNS,command-and-control,command-and-control,Rare,YES,PARTIAL,YES,YES,YES,Consensus (3/4),Detectable,"Adversaries may use Fast Flux DNS to hide a command and control channel behind an array of rapidly changing IP addresses linked to a single domain resolution. This technique uses a fully qualified domain name, with multiple IP addresses assigned to it which are swapped with high frequency, using a c...",command-and-control,"Linux, macOS, Windows, ESXi",1,1,0,Rare,24.4,TA505,TA505,
T1021.005,VNC,lateral-movement,lateral-movement,Medium,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,Unanimous (4/4),Detectable,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to remotely control machines using Virtual Network Computing (VNC).  VNC is a platform-independent desktop sharing system that uses the RFB (“remote framebuffer”) protocol to enable users to remotely control another comp...,lateral-movement,"Linux, Windows, macOS",3,1,2,Medium,24.2,"Carberp, GCMAN, TrickBot",GCMAN,"Carberp, TrickBot"
T1072,Software Deployment Tools,"execution, lateral-movement",execution,Medium,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,Adversaries may gain access to and use centralized software suites installed within an enterprise to execute commands and move laterally through the network. Configuration management and software deployment applications may be used in an enterprise network or cloud environment for routine administra...,"execution, lateral-movement","Linux, macOS, Network Devices, SaaS, Windows",2,1,1,Medium,21.8,"Silence, Wiper",Silence,Wiper
T1098,Account Manipulation,"persistence, privilege-escalation",persistence,Rare,PARTIAL,PARTIAL,NO,PARTIAL,PARTIAL,Consensus (3/4),Detectable,"Adversaries may manipulate accounts to maintain and/or elevate access to victim systems. Account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as modifying credentials or permission groups.(Citation: FireEye SMOKEDHAM June 2021) The...","persistence, privilege-escalation","Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows",1,1,0,Rare,21,Lazarus Group,Lazarus Group,
T1132,Data Encoding,command-and-control,command-and-control,Rare,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,"Adversaries may encode data to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a standard data encoding system. Use of data encoding may adhere to existing protocol specifications and includes use of ASCII, Unicode, ...",command-and-control,"Linux, macOS, Windows, ESXi",1,0,1,Rare,20.4,Ursnif,,Ursnif
T1095,Non-Application Layer Protocol,command-and-control,command-and-control,Rare,YES,YES,YES,YES,YES,Unanimous (4/4),Detectable,"Adversaries may use an OSI non-application layer protocol for communication between host and C2 server or among infected hosts within a network. The list of possible protocols is extensive.(Citation: Wikipedia OSI) Specific examples include use of network layer protocols, such as the Internet Contro...",command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",1,0,1,Rare,20.4,QakBot,,QakBot
T1132.002,Non-Standard Encoding,command-and-control,command-and-control,Rare,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,Adversaries may encode data with a non-standard data encoding system to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a non-standard data encoding system that diverges from existing protocol specifications. Non-sta...,command-and-control,"ESXi, Linux, macOS, Windows",1,0,1,Rare,20.4,Bankshot,,Bankshot
T1558.003,Kerberoasting,credential-access,credential-access,Rare,PARTIAL,YES,PARTIAL,YES,PARTIAL,Expert Review,Detectable,Adversaries may abuse a valid Kerberos ticket-granting ticket (TGT) or sniff network traffic to obtain a ticket-granting service (TGS) ticket that may be vulnerable to [Brute Force](https://attack.mitre.org/techniques/T1110).(Citation: Empire InvokeKerberoast Oct 2016)(Citation: AdSecurity Cracking ...,credential-access,Windows,1,1,0,Rare,19.4,Indrik Spider,Indrik Spider,
T1505.003,Web Shell,persistence,persistence,Rare,PARTIAL,PARTIAL,YES,YES,YES,Expert Review,Detectable,Adversaries may backdoor web servers with web shells to establish persistent access to systems. A Web shell is a Web script that is placed on an openly accessible Web server to allow an adversary to access the Web server as a gateway into a network. A Web shell may provide a set of functions to exec...,persistence,"Linux, macOS, Network Devices, Windows",1,1,0,Rare,19.4,APT38,APT38,
